,종목명,시가총액(억 원),부채율(%),배당률(%),PBR,GP/A
071090,하이스틸,812,96.34,0.61,0.45,9.81196581196581
006730,서부T&D,4869,152.9,0.63,0.68,0.025753981701118266
077500,유니퀘스트,2653,75.58,2.42,0.64,12.62485672179466
068760,셀트리온제약,32304,68.09,0.0,7.18,0.18792729698182425
044450,KSS해운,1833,308.38,3.78,0.52,5.116923818707811
001790,대한제당,3161,126.79,4.72,0.46,10.799507995079951
120110,코오롱인더,11626,119.66,3.16,0.48,24.672274506537853
083420,그린케미칼,2390,60.56,2.4,1.83,15.717192268565617
023160,태광,4650,13.31,1.06,0.87,0.12508417508417508
383310,에코프로에이치엔,9596,112.85,1.32,7.71,0.37696903856599673
016580,환인제약,3020,10.61,1.7,0.95,26.74607471575528
093370,후성,12171,124.84,0.19,2.75,17.776825872777895
034300,신세계건설,730,265.01,3.02,0.23,6.90421011973735
000490,대동,2651,263.09,0.77,0.94,18.30435289998833
002710,TCC스틸,8571,143.04,1.28,1.16,15.527093596059114
038390,레드캡투어,1538,222.66,4.72,0.82,0.35745296671490595
001940,KISCO홀딩스,3486,16.02,3.83,0.24,15.32346333314131
002960,한국쉘석유,2977,52.57,7.71,2.69,50.66744051073708
122900,아이마켓코리아,3312,198.64,5.94,0.88,12.86530612244898
079550,LIG넥스원,17226,222.16,1.63,2.16,10.840774056494174
098120,마이크로컨텍솔,542,16.96,1.54,0.88,0.23734729493891799
014680,한솔케미칼,23747,47.02,1.13,2.55,21.20003191574244
019990,에너토크,839,16.53,0.5,2.15,0.15087040618955513
067900,와이엔텍,1494,40.7,0.59,0.76,0.1376734258271078
004150,한솔홀딩스,1314,21.09,3.67,0.24,8.29531314807134
005800,신영와코루,1000,17.39,1.35,0.28,28.745890089243776
051360,토비스,1960,109.91,1.05,0.83,0.15944931163954942
060380,동양에스텍,436,78.78,2.55,0.5,0.14146341463414633
005850,에스엘,15188,71.84,2.61,0.65,15.878701050620823
016740,두올,1013,133.22,3.27,0.42,17.28688879273042
079170,한창산업,744,21.45,2.28,0.74,0.1611185086551265
019680,대교,2380,64.87,1.15,0.53,15.269236538173093
028300,HLB,42912,38.38,0.0,5.37,0.06843791998345912
093320,케이아이엔엑스,2737,23.68,1.1,1.8,0.22441742654508612
060480,국일신동,333,8.88,1.98,0.58,0.032567049808429116
290690,소룩스,616,57.85,0.78,1.22,0.12134502923976608
035810,이지홀딩스,2042,160.96,2.67,0.32,0.15570530437074126
298540,더네이쳐홀딩스,3919,77.51,1.25,1.68,0.5967201551754541
000100,유한양행,43607,23.16,0.67,2.03,20.956848788773407
009240,한샘,11366,146.88,1.79,1.41,39.93816495407839
099430,바이오플러스,3655,27.45,1.01,3.72,0.23071672354948805
041930,동아화성,1537,94.92,1.38,0.92,0.16263100831225152
038290,마크로젠,2168,54.8,1.57,1.02,0.19136022848982506
002350,넥센타이어,8506,147.1,1.63,0.4,10.939837233476156
031330,에스에이엠티,3029,94.85,8.55,0.73,0.1698408186469585
004380,삼익THK,2916,110.73,2.53,1.18,12.297297297297298
071280,로체시스템즈,1147,28.05,0.63,1.15,0.2907324364723468
002310,아세아제지,3148,28.68,2.54,0.44,20.543047637452894
033160,엠케이전자,3018,113.28,0.89,0.61,0.04976958525345622
100840,SNT에너지,1685,68.25,4.29,0.52,5.1419264774313636
104460,디와이피엔에프,3085,96.74,0.25,3.86,0.011887779362815026
138490,코오롱플라스틱,4039,51.35,2.06,1.3,26.046511627906977
264850,이랜시스,775,43.69,2.08,1.65,0.16612377850162866
023910,대한약품,1716,22.88,2.12,0.8,0.2176895306859206
001060,JW중외제약,5434,178.16,1.98,1.79,45.85987261146497
067630,HLB생명과학,11324,74.44,0.0,4.59,-0.007285089849441476
263690,디알젬,1347,72.08,2.99,1.57,0.2896606156274665
005680,삼영전자,1962,3.37,3.23,0.36,6.730947524568885
072470,우리산업홀딩스,874,116.46,1.06,0.64,0.10726729716276755
096760,JW홀딩스,2447,247.35,3.35,1.83,34.54561161022806
251970,펌텍코리아,2585,23.46,2.19,0.95,0.15336266499057197
347890,엠투아이,1614,8.57,3.14,1.83,0.2698612862547289
032080,아즈텍WB,400,29.13,1.08,0.36,0.06830985915492958
150900,파수,910,59.46,1.1,3.16,0.5377176015473888
099390,브레인즈컴퍼니,753,9.51,0.89,1.23,0.2648305084745763
018880,한온시스템,51725,283.94,4.45,1.93,9.310018903591683
005160,동국산업,3515,57.76,3.55,0.48,0.08081847279378143
005750,대림B&Co,576,113.72,2.92,0.4,12.470379146919433
006390,한일현대시멘트,3357,78.39,3.43,0.93,15.282699121861038
005820,원림,533,18.07,1.7,0.41,9.24072984108299
080520,오디텍,634,9.79,2.28,0.4,-0.0029498525073746312
090850,현대이지웰,1579,119.44,1.17,1.76,0.2986627043090639
067830,세이브존I&C,1157,23.58,1.2,0.22,11.698047419804743
136480,하림,3329,202.17,0.74,0.96,0.23411738843701912
003800,에이스침대,3548,11.52,3.7,0.64,0.30897155361050327
103140,풍산,11588,84.3,2.97,0.51,13.607045032839512
037560,LG헬로비전,3248,128.29,2.73,0.54,69.50280112044818
033100,제룡전기,2512,24.09,1.33,2.55,0.36860068259385664
069510,에스텍,906,82.41,3.64,0.59,0.16981132075471697
036580,팜스코,1395,340.23,1.28,0.52,14.22498364944408
215000,골프존,7530,57.98,3.99,1.85,0.6169635284139101
006200,한국전자홀딩스,516,35.84,5.0,0.31,15.348539756981456
015890,태경산업,2402,48.52,4.63,0.63,23.855999999999998
016090,대현,991,22.67,5.02,0.4,62.64696002687269
025860,남해화학,4302,72.97,1.18,0.81,19.29338797208993
263770,유에스티,989,26.58,3.21,1.06,0.2255125284738041
333050,모코엠시스,343,43.01,0.95,1.76,0.2518518518518518
001630,종근당홀딩스,2555,72.36,2.64,0.49,29.003196745132232
100030,인지소프트,689,21.79,4.04,1.07,0.18524590163934426
322780,코퍼스코리아,935,194.7,0.36,1.97,0.11332858161083392
019180,티에이치엔,828,306.14,1.43,0.72,19.22455573505654
010770,평화홀딩스,580,355.85,4.0,0.54,11.335959885386819
227840,현대코퍼레이션홀딩스,1037,32.1,4.83,0.41,12.293144208037825
214450,파마리서치,9942,28.63,0.94,2.03,0.29617234888098726
290650,엘앤씨바이오,6986,85.24,0.22,5.02,0.13520280420630945
002220,한일철강,914,94.32,1.07,0.43,3.9799528301886795
002020,코오롱,2588,287.68,2.51,0.31,15.309882747068675
003850,보령,5996,72.8,1.1,1.15,34.42402510085164
000660,SK하이닉스,634818,64.12,1.6,0.83,15.045416692740549
067370,선바이오,1452,79.95,0.45,5.7,0.1048951048951049
003120,일성신약,3737,10.96,23.7,0.42,5.643203883495146
005930,삼성전자,3826630,26.41,2.61,1.09,25.018615173791797
214430,아이쓰리시스템,1488,44.07,1.08,1.6,0.13415710503089143
002030,아세아,3257,70.66,2.85,0.29,14.14027149321267
285130,SK케미칼,12612,45.66,2.05,0.66,15.589122335707225
006090,사조오양,771,66.65,1.5,0.37,10.518648018648019
005610,SPC삼립,6402,232.91,2.38,1.4,40.16519993824301
068930,디지털대성,1801,48.57,2.99,1.19,0.37286063569682154
079000,와토스코리아,397,6.31,3.78,0.49,0.06038647342995169
000440,중앙에너비스,1143,7.82,1.64,1.78,0.18454258675078863
023410,유진기업,2651,116.56,4.73,0.3,0.07806343577620173
054050,농우바이오,1413,30.89,2.31,0.56,0.21075137446548564
273640,와이엠텍,2335,7.2,1.94,3.62,0.3108320251177394
023590,다우기술,8372,849.42,3.13,0.37,2.652659358505887
069260,TKG휴켐스,9218,27.18,5.0,1.03,16.698534098151686
036200,유니셈,2244,17.7,1.78,0.85,0.21133361738389433
002320,한진,2974,166.77,2.85,0.22,5.272158702237858
036930,주성엔지니어링,7338,71.9,1.82,1.04,0.29708318329132155
088790,진도,357,24.02,2.66,0.32,23.606811145510836
044340,위닉스,1894,103.41,3.57,0.85,0.18657261007054246
016590,신대양제지,2502,34.57,1.45,0.59,13.646127755794236
047050,포스코인터내셔널,47587,184.58,4.42,0.7,12.524468093605936
053160,프리엠스,483,10.15,0.74,0.68,0.09291338582677165
025950,동신건설,1037,26.47,1.2,1.18,0.04589585172109444
016380,KG스틸,9160,80.54,2.03,0.44,14.612485662788794
001740,SK네트웍스,10444,287.61,3.1,0.4,12.608297453496572
004270,남성,753,126.91,1.3,0.57,9.734513274336283
093050,LF,5108,55.96,4.4,0.31,45.290247678018574
078070,유비쿼스홀딩스,2481,12.8,1.52,1.25,0.1594957522608934
234690,녹십자웰빙,1379,56.24,1.22,1.52,0.40279627163781623
002230,피에스텍,847,17.13,5.32,0.52,0.06310367031551835
003160,디아이,1924,68.07,2.11,0.85,23.92571012381646
065370,위세아이텍,1174,75.18,1.36,2.13,0.14081632653061224
267270,HD현대건설기계,12214,106.84,2.81,0.8,17.45635910224439
024940,PN풍년,684,17.74,0.31,1.72,0.30642201834862387
119850,지엔씨에너지,863,45.9,1.4,0.5,0.08196721311475409
115390,락앤락,2916,17.68,31.15,0.52,29.38602681721948
072870,메가스터디,1415,18.57,9.68,0.4,0.15874195146111936
034730,SK,120557,170.87,2.65,0.6,7.7627465285114745
035900,JYP Ent.,33474,35.02,0.54,7.7,0.3809292143030893
017480,삼현철강,818,18.43,6.16,0.4,0.12929112795363354
033290,코웰패션,4026,115.1,4.31,0.77,0.27379168227800676
058470,리노공업,19662,7.77,1.93,4.78,0.29087488240827847
037350,성도이엔지,631,95.78,2.24,0.26,0.03568580542264753
002870,신풍,349,36.52,4.35,0.45,1.2455516014234875
001810,무림SP,518,50.39,0.58,0.28,0.01118925831202046
318000,KBG,1486,23.26,1.75,1.33,0.16937354988399073
011070,LG이노텍,66504,129.58,1.64,1.4,24.244404509067145
019440,세아특수강,1405,97.18,5.83,0.43,10.141987829614605
078600,대주전자재료,13715,171.68,0.14,8.16,0.11161939615736505
101170,우림피티에스,916,10.49,1.72,0.89,0.1407563025210084
003300,한일홀딩스,3447,59.64,7.41,0.23,10.3671970624235
008490,서흥,3383,97.23,1.19,0.89,14.820811744386875
065350,신성델타테크,3119,192.72,1.54,1.29,0.14319847085058937
265560,영화테크,1200,42.8,0.56,1.68,0.12300123001230012
012750,에스원,21545,36.29,4.22,1.34,28.477140241846122
084370,유진테크,6301,25.18,1.22,1.5,0.34953917050691247
